flow_id,section,claim_or_required_statement,scope,evidence_tier,status,primary_evidence,display_or_location,allowed_wording,prohibited_extension
F001,Title/Abstract,NSS-ID is a controlled Indonesian read-speech resource organized into 11 communicative categories,release_target,A,verified with protocol details pending,"metadata/dataset_metadata.csv; Draft_Paper/01_Extraction/manuscript_text.md",Title; Abstract; Background,"controlled Indonesian read speech across 11 communicative sentence categories","conversational; spontaneous; nationally representative; dialect-validated"
F002,Abstract,"The release target contains 104,500 audio files",release_target,A,verified,"metadata/dataset_metadata.csv; Report_paper_9model/hf_dataset_information_public/dataset_stats_public.json",Abstract; Table 2,"104,500 files","public/open dataset"
F003,Abstract,Release-target duration is 134.1762 h,release_target,A,verified,"metadata/dataset_metadata.csv; dataset_stats_public.json",Abstract; Table 2,"134.1762 h","benchmark duration or rounded-split sum substituted"
F004,Abstract,"The release target contains 104,368 human and 132 synthetic recordings",release_target,A,verified,dataset_stats_public.json,Abstract; Table 2; Table 5,"104,368 human recordings and 132 synthetic repairs","all 104,500 files were recorded from participants"
F005,Abstract,Synthetic recordings are 0.1263% of the release target,release_target,A,verified calculation,dataset_stats_public.json,Abstract; Table 5,"132/104,500 (0.1263%)","0.129%; 0.1263% of benchmark"
F006,Abstract,"The release target contains 20 retained human public speaker labels; corrected labels comprise 12 male and 8 female",release_target,A,verified label counts; participant uniqueness and label provenance gap,"per_speaker_public.csv; dataset_stats_public.json",Abstract; Table 4,"20 retained human public speaker labels; corrected metadata labels comprise 12 male and 8 female","20 verified distinct participants; self-identified gender; population balance; gender-generalizable evaluation"
F007,Abstract/Data Description,"The release-target metadata contains 11 categories and 213 distinct (category, sentence_id) pairs",release_target,A,verified,"metadata/dataset_metadata.csv; Draft_Paper/02_Evidence/transcript_template_stats.csv",Abstract; Table 2; Table 3,"213 distinct (category, sentence_id) pairs","213 unique texts; 209 sentences for the release target"
F008,Abstract/Data Description,"Release-target metadata rows report 16 kHz, mono, PCM16 audio",release_target,A,verified metadata audit; direct header package pending,"metadata/dataset_metadata.csv; Draft_Paper/99_Admin/build_evidence_registry.py",Specifications Table; Methods,"metadata records 16-kHz, mono, 16-bit PCM WAV for all 104,500 rows; direct header audit path [pending]","corpus-wide acoustic quality or file-readability attestation before direct audit"
F009,Keywords,Use 1-7 English indexing terms,journal,official policy,verified,Draft_Paper/02_Evidence/JOURNAL_REQUIREMENTS_SNAPSHOT.md,Keywords,"Indonesian; read speech; automatic speech recognition; speech corpus; speaker-independent recognition; synthetic speech","blank keywords; more than seven"
F010,Specifications/Data Availability,HF staging is private and not currently publicly accessible,access,A,verified revision-pinned,"Draft_Paper/02_Evidence/hf_dataset_remote_info.json; evidence_registry.json",Specifications Table; Data Availability internal note,"private HF staging at pinned revision","public/open/reviewer-accessible"
