component,path_or_archive_member,format,rows_or_files,purpose,scope,checksum_or_version,package_state
Category audio shards,data/audio_shards/by_category/*.tar,11 TAR archives containing PCM WAV files,11 shards / 104500 WAV files,Bulk audio delivery by English public category,Release target,15623106560 bytes; per-shard SHA-256 in audio_shards_manifest.csv; HF revision 830a2069416707e3f38c06c507255889513cdf4b,Present in private staging; release not authorized
Recording-level metadata,metadata/dataset_metadata_public.csv,CSV,104500,"Paths, public IDs, transcript, category, sentence ID, split, duration, audio-format fields, and synthetic provenance",Release target,0e5521310e89d1fc67de84108dc176fb895cee9539aa7183ceb6019fb935924f,Present in private staging; repaired metadata has zero blank transcripts
Category transcript lists,data/transcripts/*.txt,UTF-8 text,"11 files / 209 canonical balanced sentence slots",Public prompt inventory with stable original IDs,Release target,HF revision 830a2069416707e3f38c06c507255889513cdf4b,Present in private staging; numbering gaps are intentional
Sentence-ID inventory,metadata/transcript_sentence_inventory_public.csv,CSV,11 category rows,Available and intentionally absent original sentence IDs,Release target,HF revision 830a2069416707e3f38c06c507255889513cdf4b,Present in private staging
Public identifier schema,metadata/speaker_labels/hf_public_metadata_schema.md,Markdown,Field dictionary,Defines pseudonymous M/F and synthetic Ms/Fs labels and repair-target fields,Release target / privacy,HF revision 830a2069416707e3f38c06c507255889513cdf4b,Present; private identity crosswalk excluded
Split manifests,splits/speaker_split_assignment_public.csv; splits/split_summary_public.json; final row manifests [pending],CSV/JSON/TSV,20 human public IDs; 104500 row assignments in final manifest [pending],Fixed train/development/test assignments,Release target,"Seed 42 recorded; [MATERIAL GAP: split-generation algorithm, candidate order, library/version, and exact assignments]",Summary present; publication-grade generator and immutable row manifests pending
Synthetic repair manifest,paper/dataset_information/synthetic_repair_rows_public.csv,CSV,132 rows,Allows synthetic rows to be identified and filtered,Release target,HF revision 830a2069416707e3f38c06c507255889513cdf4b,Present; disposition of two source/target mismatches pending
Descriptive source values,paper/dataset_information/*.csv; paper/dataset_information/*.json,CSV/JSON,"Category, split, speaker, synthetic, lexical, and 297-file sampled diagnostic values",Editable tables and reproducible figure inputs,"Release target or sampled diagnostics, explicitly labelled",HF revision 830a2069416707e3f38c06c507255889513cdf4b,Partly present; regenerated main-figure source package pending
Frozen benchmark artifacts,Draft_Paper/02_Evidence/unified_benchmark_rescore/; Report_paper_9model/benchmark/benchmark.json; model cards,CSV/JSON/Markdown/model artifacts,9 uniformly rescored prediction records / 102544-audio-row benchmark,"Seen-script, held-out-human-speaker technical validation; run-native metrics retained only as provenance",Frozen benchmark,Prediction hashes recorded; benchmark manifest hashes pending; [MATERIAL GAP: exact benchmark template-overlap audit],Uniform rescore present; per-recipe method cards and final supplement/checksum package pending
Validation and reproduction scripts,scripts/ and manuscript-facing audit scripts [final paths pending],Python/shell,Multiple scripts,"Rebuild statistics, figures, integrity checks, and benchmark summaries",All scopes,Pending: frozen code revision and environment lockfiles.,Local scripts exist; final minimal release bundle pending
Package checksum manifest,checksums/SHA256SUMS [planned],Text/CSV,One record per deposited artifact,Immutable release verification,Final deposit,Pending: final archive checksums; see the canonical repository/version/checksum gate.,Not yet generated because the release package is not frozen
